x, y, theta, stamp, 
1.3813279867172241, 1.2002614736557007, -2.65083190858327, 1709253090695193178, 
1.374039888381958, 1.1963342428207397, -2.651819298074789, 1709253090805873515, 
1.3681126832962036, 1.1931288242340088, -2.6515531030312274, 1709253090898529828, 
1.361466884613037, 1.1897306442260742, -2.6516597582743344, 1709253090998670089, 
1.354973316192627, 1.1862183809280396, -2.651634198471354, 1709253091095685053, 
1.3494365215301514, 1.1832953691482544, -2.651278065142444, 1709253091187433803, 
1.3431235551834106, 1.1798392534255981, -2.651681892907502, 1709253091296745770, 
1.3370858430862427, 1.1766254901885986, -2.6524491367753282, 1709253091396687061, 
1.3313030004501343, 1.1736623048782349, -2.6516627884967763, 1709253091496893956, 
1.326111078262329, 1.1708390712738037, -2.6516904160191723, 1709253091586497957, 
1.319991111755371, 1.1676688194274902, -2.6517397909860576, 1709253091696795883, 
1.314879298210144, 1.1647230386734009, -2.6515451242408337, 1709253091797816931, 
1.3095265626907349, 1.161942720413208, -2.651910074052181, 1709253091896953652, 
1.3050026893615723, 1.159414291381836, -2.653025620125282, 1709253091986406772, 
1.2988784313201904, 1.1562944650650024, -2.653543974274411, 1709253092101977967, 
1.2942969799041748, 1.1536914110183716, -2.6541092108147897, 1709253092198022647, 
1.289756178855896, 1.1513621807098389, -2.6540765649502913, 1709253092291783597, 
1.2849810123443604, 1.148713231086731, -2.6534330259002874, 1709253092392614287, 
1.2794870138168335, 1.1459131240844727, -2.6533946290495396, 1709253092501623282, 
1.2752324342727661, 1.1434742212295532, -2.6542931338267106, 1709253092598120353, 
1.2707051038742065, 1.1412962675094604, -2.65350774716595, 1709253092691209402, 
1.2662631273269653, 1.138718843460083, -2.6546082520291847, 1709253092792624959, 
1.2612396478652954, 1.136181354522705, -2.654604173111543, 1709253092901346421, 
1.2571128606796265, 1.1337171792984009, -2.6548144894262764, 1709253092998687457, 
1.2528741359710693, 1.1314964294433594, -2.6544280085824945, 1709253093091671616, 
1.2486252784729004, 1.1293257474899292, -2.654920387445104, 1709253093193201390, 
1.2441684007644653, 1.1268755197525024, -2.656004016004773, 1709253093302931117, 
1.2400274276733398, 1.1248317956924438, -2.6571573604354755, 1709253093399791054, 
1.2363364696502686, 1.1228705644607544, -2.657818278697346, 1709253093492668675, 
1.231897234916687, 1.1205946207046509, -2.6581960497043955, 1709253093602347138, 
1.2280107736587524, 1.118408441543579, -2.6582548946490814, 1709253093702851508, 
1.2242215871810913, 1.1164734363555908, -2.6580498183551335, 1709253093800799766, 
1.220395565032959, 1.1145668029785156, -2.6576207017266262, 1709253093892672659, 
1.2162973880767822, 1.1123143434524536, -2.6572223655832254, 1709253094002618276, 
1.2129902839660645, 1.110681414604187, -2.6590270397571603, 1709253094102985819, 
1.2092950344085693, 1.1086797714233398, -2.6587164143024538, 1709253094200798702, 
1.2060987949371338, 1.1069324016571045, -2.6589254866035636, 1709253094293667897, 
1.2025712728500366, 1.1052677631378174, -2.6593209139636294, 1709253094390717581, 
