x, y, th, stamp, 
-2.565835475921631, -0.14843934774398804, -3.0696697315001242, 1707433163679274092, 
-2.570195198059082, -0.1485576033592224, -3.06898427612802, 1707433163727262791, 
-2.5745949745178223, -0.1488017439842224, -3.06898427612802, 1707433163775216395, 
-2.57902193069458, -0.1490781158208847, -3.06898427612802, 1707433163823224239, 
-2.5834367275238037, -0.14903482794761658, -3.06898427612802, 1707433163871340511, 
-2.5877890586853027, -0.14959348738193512, -3.06898427612802, 1707433163919264717, 
-2.59226393699646, -0.1497744768857956, -3.06898427612802, 1707433163967226320, 
-2.598357915878296, -0.15029975771903992, -3.06774783064364, 1707433164031238703, 
-2.602916955947876, -0.1504339873790741, -3.06774783064364, 1707433164079257278, 
-2.6075198650360107, -0.15088070929050446, -3.0678451189676057, 1707433164126377745, 
-2.612121820449829, -0.1509784758090973, -3.0678451189676057, 1707433164175235397, 
-2.6165030002593994, -0.15109655261039734, -3.0678451189676057, 1707433164223249470, 
-2.6209585666656494, -0.15136976540088654, -3.069143053372506, 1707433164271096405, 
-2.6255667209625244, -0.1514691859483719, -3.0699985148384354, 1707433164319460297, 
-2.62975811958313, -0.15204931795597076, -3.0699985148384354, 1707433164366885128, 
-2.635301351547241, -0.15207883715629578, -3.0699985148384354, 1707433164431250373, 
-2.639998435974121, -0.15261009335517883, -3.0693714664129317, 1707433164480274843, 
-2.644573211669922, -0.1525663137435913, -3.068547737430082, 1707433164527268488, 
-2.6489858627319336, -0.15300272405147552, -3.068547737430082, 1707433164575236548, 
-2.6534013748168945, -0.15318046510219574, -3.068547737430082, 1707433164623252555, 
-2.658081293106079, -0.15341123938560486, -3.068547737430082, 1707433164672353638, 
-2.6627261638641357, -0.15389692783355713, -3.069044579018986, 1707433164720323544, 
-2.6670479774475098, -0.15400458872318268, -3.069044579018986, 1707433164766848074, 
-2.6730425357818604, -0.1546861231327057, -3.069044579018986, 1707433164832293427, 
-2.677307367324829, -0.1548784226179123, -3.069044579018986, 1707433164880349052, 
-2.6818952560424805, -0.15547724068164825, -3.069044579018986, 1707433164927261093, 
-2.6864073276519775, -0.15546204149723053, -3.069044579018986, 1707433164975284642, 
-2.690779209136963, -0.1559125781059265, -3.069044579018986, 1707433165023274058, 
-2.695340394973755, -0.15613071620464325, -3.069044579018986, 1707433165072239860, 
-2.699579954147339, -0.15627102553844452, -3.069044579018986, 1707433165119327503, 
-2.7042341232299805, -0.1567959487438202, -3.069044579018986, 1707433165166677926, 
-2.7104580402374268, -0.157150998711586, -3.0671555940025357, 1707433165232261962, 
-2.71486759185791, -0.1575140804052353, -3.0664527417145364, 1707433165278365967, 
-2.7192132472991943, -0.15742069482803345, -3.0672070890857572, 1707433165327269538, 
-2.723672389984131, -0.15800662338733673, -3.0672070890857572, 1707433165374390917, 
-2.7280681133270264, -0.15818287432193756, -3.0682602014816864, 1707433165423262162, 
-2.732755422592163, -0.1585550755262375, -3.0682602014816864, 1707433165472471993, 
-2.737126111984253, -0.15878990292549133, -3.0682602014816864, 1707433165518428039, 
-2.7413036823272705, -0.15884838998317719, -3.0689554229838283, 1707433165566658691, 
-2.747378349304199, -0.15929843485355377, -3.0689554229838283, 1707433165633237471, 
-2.751682996749878, -0.15960411727428436, -3.0689554229838283, 1707433165679275514, 
-2.756315231323242, -0.16003791987895966, -3.0689554229838283, 1707433165726517477, 
-2.760654926300049, -0.1600578874349594, -3.0689554229838283, 1707433165774623263, 
-2.765326738357544, -0.16050849854946136, -3.06859134343368, 1707433165823329428, 
-2.7699644565582275, -0.16053622961044312, -3.06859134343368, 1707433165872631879, 
-2.7741081714630127, -0.16108828783035278, -3.06859134343368, 1707433165919989608, 
-2.778534173965454, -0.16114728152751923, -3.06859134343368, 1707433165966662573, 
-2.7846856117248535, -0.161563441157341, -3.0678403345570633, 1707433166032260087, 
-2.789163827896118, -0.16171002388000488, -3.0678403345570633, 1707433166079269165, 
-2.7936818599700928, -0.16196967661380768, -3.0678403345570633, 1707433166126474736, 
-2.797982931137085, -0.16231968998908997, -3.0678403345570633, 1707433166175265987, 
-2.802509069442749, -0.16226139664649963, -3.0678403345570633, 1707433166223276384, 
-2.807004451751709, -0.16277794539928436, -3.0678403345570633, 1707433166273278958, 
-2.811131715774536, -0.1627863198518753, -3.067078580940426, 1707433166318531778, 
-2.815657138824463, -0.1632990539073944, -3.067078580940426, 1707433166366925812, 
-2.821352243423462, -0.16324646770954132, -3.0665659950010196, 1707433166431256243, 
-2.8257639408111572, -0.16358205676078796, -3.0665659950010196, 1707433166479296240, 
-2.830214023590088, -0.1637105643749237, -3.067149628551145, 1707433166527250915, 
-2.834717035293579, -0.16380272805690765, -3.067149628551145, 1707433166574528955, 
-2.8390417098999023, -0.1643972545862198, -3.0675516294044867, 1707433166623251371, 
-2.843472957611084, -0.16440154612064362, -3.0675516294044867, 1707433166670497377, 
-2.848013162612915, -0.16486361622810364, -3.0675516294044867, 1707433166719272190, 
-2.852426052093506, -0.16484639048576355, -3.0675516294044867, 1707433166766695275, 
